Date,GHI
2020-08-08,4.228008333
2020-08-09,3.826891667
2020-08-10,4.77865
2020-08-11,5.032291667
2020-08-12,2.374025
2020-08-13,3.296125
2020-08-14,5.338333333
2020-08-15,6.542925
2020-08-16,6.588108333
2020-08-17,5.805491667
2020-08-18,4.6093
2020-08-19,4.504258333
2020-08-20,4.920458333
2020-08-21,5.852966667
2020-08-22,5.7299
2020-08-23,5.770433333
2020-08-24,6.372925
2020-08-25,6.375016667
2020-08-26,5.904958333
2020-08-27,6.356391667
2020-08-28,6.098608333
2020-08-29,6.4524
2020-08-30,4.734875
2020-08-31,6.173716667
2020-09-01,3.607716667
2020-09-02,5.848
2020-09-03,5.022025
2020-09-04,6.7933
2020-09-05,5.315975
2020-09-06,5.303933333
2020-09-07,6.947316667
2020-09-08,5.245983333
2020-09-09,3.982816667
2020-09-10,4.208775
2020-09-11,6.204075
2020-09-12,4.825333333
2020-09-13,3.430558333
2020-09-14,3.86695
2020-09-15,5.83625
2020-09-16,5.193391667
2020-09-17,4.751516667
2020-09-18,3.082125
2020-09-19,1.961641667
2020-09-20,5.438716667
2020-09-21,5.726066667
2020-09-22,5.455016667
2020-09-23,5.434108333
2020-09-24,6.261908333
2020-09-25,3.901775
2020-09-26,3.824825
2020-09-27,3.45985
2020-09-28,3.970241667
2020-09-29,4.564616667
2020-09-30,5.392108333
2020-10-01,4.0125
2020-10-02,2.411141667
2020-10-03,5.345891667
2020-10-04,4.904075
2020-10-05,3.05
2020-10-06,3.399941667
2020-10-07,1.767241667
2020-10-08,4.223466667
2020-10-09,1.825283333
2020-10-10,2.645533333
2020-10-11,2.573858333
2020-10-12,4.169058333
2020-10-13,4.326308333
2020-10-14,2.54325
2020-10-15,2.999
2020-10-16,2.124833333
2020-10-17,2.839691667
2020-10-18,2.898758333
2020-10-19,4.856016667
2020-10-20,4.438566667
2020-10-21,3.001575
2020-10-22,5.948458333
2020-10-23,5.029258333
2020-10-24,5.099741667
2020-10-25,2.715316667
2020-10-26,5.14175
2020-10-27,3.935491667
2020-10-28,2.206325
2020-10-29,3.794083333
2020-10-30,4.33635
2020-10-31,3.985316667
2020-11-01,4.631875
2020-11-02,3.199641667
2020-11-03,5.397516667
2020-11-04,3.881266667
2020-11-05,5.158883333
2020-11-06,2.401275
2020-11-07,4.188108333
2020-11-08,4.948775
2020-11-09,3.40385
2020-11-10,3.473483333
2020-11-11,3.210316667
2020-11-12,4.436241667
2020-11-13,4.856416667
2020-11-14,5.4906
2020-11-15,4.450458333
2020-11-16,4.598091667
2020-11-17,5.437575
2020-11-18,3.887516667
2020-11-19,3.99265
2020-11-20,4.206191667
2020-11-21,3.515766667
2020-11-22,4.502883333
2020-11-23,3.430041667
2020-11-24,4.42425
2020-11-25,4.824158333
2020-11-26,4.384575
2020-11-27,4.1413
2020-11-28,4.05465
2020-11-29,2.462508333
2020-11-30,3.986191667
2020-12-01,3.422875
2020-12-02,4.100191667
2020-12-03,5.60325
2020-12-04,5.626008333
2020-12-05,5.074833333
2020-12-06,5.420141667
2020-12-07,3.066733333
2020-12-08,4.480466667
2020-12-09,3.3859
2020-12-10,3.428716667
2020-12-11,2.8102
2020-12-12,3.284166667
2020-12-13,2.810166667
2020-12-14,4.296166667
2020-12-15,4.15135
2020-12-16,4.663783333
2020-12-17,4.445075
2020-12-18,3.599541667
2020-12-19,3.687291667
2020-12-20,3.353266667
2020-12-21,4.921075
2020-12-22,2.876825
2020-12-23,3.4587
2020-12-24,4.203441667
2020-12-25,4.012741667
2020-12-26,4.949166667
2020-12-27,4.482958333
2020-12-28,4.528641667
2020-12-29,4.800583333
2020-12-30,2.427341667
2020-12-31,3.629525
2021-01-01,2.786683333
2021-01-02,3.874108333
2021-01-03,4.827366667
2021-01-04,4.065383333
2021-01-05,4.0429
2021-01-06,3.949783333
2021-01-07,4.947341667
2021-01-08,5.051108333
2021-01-09,5.2389
2021-01-10,4.8213
2021-01-11,4.975141667
2021-01-12,4.866616667
2021-01-13,5.033091667
2021-01-14,4.440375
2021-01-15,4.514583333
2021-01-16,4.349475
2021-01-17,4.833258333
2021-01-18,5.544341667
2021-01-19,3.88405
2021-01-20,3.496041667
2021-01-21,3.969733333
2021-01-22,3.324808333
2021-01-23,3.377008333
2021-01-24,3.681925
2021-01-25,4.29905
2021-01-26,4.239008333
2021-01-27,4.010408333
2021-01-28,4.213233333
2021-01-29,5.424616667
2021-01-30,4.741075
2021-01-31,4.604041667
2021-02-01,4.621641667
2021-02-02,5.495841667
2021-02-03,5.2928
2021-02-04,4.473416667
2021-02-05,4.504841667
2021-02-06,4.159225
2021-02-07,3.478141667
2021-02-08,3.205775
2021-02-09,5.045083333
2021-02-10,4.277683333
2021-02-11,2.390758333
2021-02-12,4.068308333
2021-02-13,5.202675
2021-02-14,4.364241667
2021-02-15,4.697391667
2021-02-16,5.241525
2021-02-17,5.940891667
2021-02-18,5.53465
2021-02-19,5.472708333
2021-02-20,6.008566667
2021-02-21,5.999541667
2021-02-22,5.196675
2021-02-23,5.446766667
2021-02-24,4.6578
2021-02-25,5.31395
2021-02-26,4.556158333
2021-02-27,3.493283333
2021-02-28,4.582141667
2021-03-01,5.4687
2021-03-02,4.935983333
2021-03-03,4.19625
2021-03-04,5.165466667
2021-03-05,6.486008333
2021-03-06,5.915858333
2021-03-07,5.639083333
2021-03-08,5.1473
2021-03-09,4.57085
2021-03-10,4.772283333
2021-03-11,5.075016667
2021-03-12,5.343283333
2021-03-13,5.711466667
2021-03-14,6.122858333
