Date,GHI,PR
2019-09-21,4.271341667,82.28355411
2019-09-21,4.271341667,82.28355411
2019-09-21,4.271341667,82.28355411
2019-09-22,3.994125,72.49029611
2019-09-22,3.994125,72.49029611
2019-09-22,3.994125,72.49029611
2019-09-22,3.994125,72.49029611
2019-09-23,4.478916667,76.80468408
2019-09-23,4.478916667,76.80468408
2019-09-23,4.478916667,76.80468408
2019-09-23,4.478916667,76.80468408
2019-09-24,5.927058333,65.94358811
2019-09-24,5.927058333,65.94358811
2019-09-24,5.927058333,65.94358811
2019-09-24,5.927058333,65.94358811
2019-09-25,5.151191667,77.5996692
2019-09-25,5.151191667,77.5996692
2019-09-25,5.151191667,77.5996692
2019-09-25,5.151191667,77.5996692
2019-09-26,4.275775,78.68319327
2019-09-26,4.275775,78.68319327
2019-09-26,4.275775,78.68319327
2019-09-26,4.275775,78.68319327
2019-09-27,5.9795,80.31828879
2019-09-27,5.9795,80.31828879
2019-09-27,5.9795,80.31828879
2019-09-27,5.9795,80.31828879
2019-09-28,5.166,82.97936701
2019-09-28,5.166,82.97936701
2019-09-28,5.166,82.97936701
2019-09-28,5.166,82.97936701
2019-09-29,5.962158333,76.0790729
2019-09-29,5.962158333,76.0790729
2019-09-29,5.962158333,76.0790729
2019-09-29,5.962158333,76.0790729
2019-09-30,4.655391667,84.59746407
2019-09-30,4.655391667,84.59746407
2019-09-30,4.655391667,84.59746407
2019-09-30,4.655391667,84.59746407
2019-10-01,6.280383333,79.92690389
2019-10-01,6.280383333,79.92690389
2019-10-01,6.280383333,79.92690389
2019-10-01,6.280383333,79.92690389
2019-10-02,3.846975,79.62610528
2019-10-02,3.846975,79.62610528
2019-10-02,3.846975,79.62610528
2019-10-02,3.846975,79.62610528
2019-10-03,5.304516667,65.92235187
2019-10-03,5.304516667,65.92235187
2019-10-03,5.304516667,65.92235187
2019-10-03,5.304516667,65.92235187
2019-10-04,5.0467,66.65418229
2019-10-04,5.0467,66.65418229
2019-10-04,5.0467,66.65418229
2019-10-04,5.0467,66.65418229
2019-10-05,5.760425,76.60160639
2019-10-05,5.760425,76.60160639
2019-10-05,5.760425,76.60160639
2019-10-05,5.760425,76.60160639
2019-10-06,4.48295,76.5588171
2019-10-06,4.48295,76.5588171
2019-10-06,4.48295,76.5588171
2019-10-06,4.48295,76.5588171
2019-10-07,5.44895,83.77956872
2019-10-07,5.44895,83.77956872
2019-10-07,5.44895,83.77956872
2019-10-07,5.44895,83.77956872
2019-10-08,5.028433333,83.61471439
2019-10-08,5.028433333,83.61471439
2019-10-08,5.028433333,83.61471439
2019-10-08,5.028433333,83.61471439
2019-10-09,4.364933333,75.66140406
2019-10-09,4.364933333,75.66140406
2019-10-09,4.364933333,75.66140406
2019-10-09,4.364933333,75.66140406
2019-10-10,4.664875,80.04870457
2019-10-10,4.664875,80.04870457
2019-10-10,4.664875,80.04870457
2019-10-10,4.664875,80.04870457
2019-10-11,4.926133333,70.29808375
2019-10-11,4.926133333,70.29808375
2019-10-11,4.926133333,70.29808375
2019-10-11,4.926133333,70.29808375
2019-10-12,4.569933333,81.90221019
2019-10-12,4.569933333,81.90221019
2019-10-12,4.569933333,81.90221019
2019-10-12,4.569933333,81.90221019
2019-10-13,4.226025,73.25820899
2019-10-13,4.226025,73.25820899
2019-10-13,4.226025,73.25820899
2019-10-13,4.226025,73.25820899
2019-10-14,6.398408333,66.72883504
